About,Director,Writers,category,duration,movie_type,number_of_vote,rating,recommendation,title
"
                    A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.
            ",Álex Pina,"Laura Haddock,Nuno Lopes,Marta Milans,See full cast & crew",Drama,"
                        1h
                    ",Serie,"5,778",6.5,"Inhuman Resources,Valeria,Saint George,Snowpiercer,Control Z,Outer Banks,Dead to Me,Sara,Hollywood,Into the Night,Toy Boy,The Wrong Missy",White Lines             
"
                    The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.
            ",Josh Trank,Josh Trank,Biography,"
                        1h 43min
                    ",Movie,"6,591",4.9,"365 Days,Extraction,The Wrong Missy,The Lodge,Once Upon a Time... in Hollywood,John Henry,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,The Gentlemen,Arkansas,Mad Max: Fury Road,Star Wars: Episode IX - The Rise of Skywalker,Bad Boys for Life",Capone 
"
                    The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder.
            ",Mark Bomback,"Chris Evans,Michelle Dockery,Jaeden Martell,See full cast & crew",Drama,"
                        45min
                    ",Movie,"6,256",8.3,"Home Before Dark,The Morning Show,Truth Be Told,Servant,Trying,Upload,Gangs of London,Killing Eve,Little Fires Everywhere,See,I Know This Much Is True,Billions",Defending Jacob             
"
                    A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.
            ",Steven Knight,"Cillian Murphy,Paul Anderson,Helen McCrory,See full cast & crew",Crime,"
                        1h
                    ",Serie,"289,981",8.8,"Vikings,Breaking Bad,Game of Thrones,Stranger Things,Sherlock,Money Heist,Friends,Westworld,Chernobyl,Narcos,Dark,Black Mirror",Peaky Blinders             
"
                    While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.
            ",Roberto Aguirre-Sacasa,"K.J. Apa,Lili Reinhart,Camila Mendes,See full cast & crew",Crime,"
                        45min
                    ",Serie,"107,055",7.0,"Stranger Things,The Flash,13 Reasons Why,The Vampire Diaries,Grey's Anatomy,Friends,Pretty Little Liars,Criminal Minds,Supernatural,Modern Family,Gossip Girl,Teen Wolf",Riverdale             
"
                    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.
            ",Todd Phillips,"Todd Phillips,Scott Silver,3 more credits",Crime,"
                        2h 2min
                    ",Movie,"795,983",8.5,"Avengers: Endgame,Parasite,Forrest Gump,Once Upon a Time... in Hollywood,The Shawshank Redemption,1917,The Dark Knight,Back to the Future,The Godfather,Inception,Interstellar,Mad Max: Fury Road",Joker 
"
                    An English combat nurse from 1945 is mysteriously swept back in time to 1743.
            ",Ronald D. Moore,"Caitriona Balfe,Sam Heughan,Duncan Lacroix,See full cast & crew",Drama,"
                        1h 4min
                    ",Serie,"111,489",8.4,"Vikings,Game of Thrones,Grey's Anatomy,Westworld,The Last Kingdom,The Blacklist,Homeland,Stranger Things,Criminal Minds,Killing Eve,Ozark,Modern Family",Outlander             
"
                    Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.
            ",Jason Rothenberg,"Eliza Taylor,Bob Morley,Marie Avgeropoulos,See full cast & crew",Drama,"
                        43min
                    ",Serie,"194,466",7.7,"The Vampire Diaries,The Walking Dead,Riverdale,Stranger Things,Lucifer,Vikings,Prison Break,13 Reasons Why,The Witcher,The Originals,Teen Wolf,Arrow",The 100             
"
                    A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.
            ",Jon Bokenkamp,"James Spader,Megan Boone,Diego Klattenhoff,See full cast & crew",Crime,"
                        43min
                    ",Serie,"181,339",8.0,"Criminal Minds,Grey's Anatomy,Homeland,Modern Family,Friends,Game of Thrones,Supernatural,Vikings,The Flash,Brooklyn Nine-Nine,The Walking Dead,Stranger Things",The Blacklist             
"
                    A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
            ",Vince Gilligan,"Bryan Cranston,Aaron Paul,Anna Gunn,See full cast & crew",Crime,"
                        49min
                    ",Serie,"1,356,546",9.5,"Game of Thrones,Stranger Things,Peaky Blinders,Chernobyl,Friends,Vikings,Sherlock,Better Call Saul,Money Heist,Black Mirror,Westworld,Rick and Morty",Breaking Bad             
"
                    After a series of events, the lives of a security operative and an assassin become inextricably linked.
            ",Phoebe Waller-Bridge,"Jodie Comer,Sandra Oh,Fiona Shaw,See full cast & crew",Action,"
                        42min
                    ",Serie,"71,723",8.3,"Grey's Anatomy,Homeland,Dead to Me,Westworld,Ozark,Fleabag,Modern Family,Game of Thrones,The Blacklist,Outlander,Friends,The Office",Killing Eve             
"
                    Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
            ",Frank Darabont,"Andrew Lincoln,Norman Reedus,Melissa McBride,See full cast & crew",Drama,"
                        44min
                    ",Serie,"826,511",8.2,"Game of Thrones,Stranger Things,Vikings,Breaking Bad,Lost,Supernatural,Prison Break,Friends,Westworld,The Blacklist,Peaky Blinders,Grey's Anatomy",The Walking Dead             
"
                    A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.
            ",Shannon Burke,"Chase Stokes,Madelyn Cline,Madison Bailey,See full cast & crew",Action,"
                        50min
                    ",Serie,"11,134",7.6,"Never Have I Ever,Riverdale,Dead to Me,Grey's Anatomy,Stranger Things,Ozark,Money Heist,Hollywood,The Society,Modern Family,Friends,Outlander",Outer Banks             
"
                    Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.
            ",Lisa Joy,"Evan Rachel Wood,Jeffrey Wright,Ed Harris,See full cast & crew",Drama,"
                        1h 2min
                    ",Serie,"399,869",8.7,"Game of Thrones,Stranger Things,Vikings,Breaking Bad,Black Mirror,Peaky Blinders,Dark,Sherlock,Friends,Chernobyl,Narcos,The Mandalorian",Westworld             
"
                    A drama centered on the personal and professional lives of five surgical interns and their supervisors.
            ",Shonda Rhimes,"Ellen Pompeo,Chandra Wilson,James Pickens Jr.,See full cast & crew",Drama,"
                        41min
                    ",Serie,"233,999",7.6,"Criminal Minds,Friends,Modern Family,The Blacklist,Riverdale,Game of Thrones,Supernatural,The Office,Stranger Things,Homeland,Killing Eve,Outlander",Grey's Anatomy             
"
                    Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.
            ",Michael Hirst,"Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,See full cast & crew",Action,"
                        44min
                    ",Serie,"391,196",8.5,"Game of Thrones,Peaky Blinders,Breaking Bad,Westworld,Stranger Things,Friends,Money Heist,Sherlock,Black Mirror,Dark,The Last Kingdom,The Walking Dead",Vikings             
"
                    Characters live in an alternative history in which Franklin D. Roosevelt was defeated in the U.S. presidential election of 1940 by Charles Lindbergh.
            ",Ed Burns,"Winona Ryder,Anthony Boyle,Zoe Kazan,See full cast & crew",Drama,"
                        1h
                    ",Movie,"4,400",7.2,"Bad Education,Show Me a Hero,Devs,Run,Little Fires Everywhere,Mrs. America,Hollywood,The Outsider,Tales from the Loop,The Deuce,The Eddy,My Brilliant Friend",The Plot Against America             
"
                    The missions of MI-5, the UK's domestic intelligence organization.
            ",David Wolstencroft,"Peter Firth,Hugh Simon,Nicola Walker,See full cast & crew",Action,"
                        1h
                    ",Serie,"13,939",8.2,"MI-5,Hustle,Ashes to Ashes,Whitechapel,Silk,Waking the Dead,Life on Mars,Ripper Street,Wallander,Wire in the Blood,Silent Witness,Unforgotten",Spooks             
"
                    Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.
            ",Joss Whedon,"Nathan Fillion,Gina Torres,Alan Tudyk,See full cast & crew",Adventure,"
                        44min
                    ",Serie,"236,660",9.0,"Serenity,Battlestar Galactica,Battlestar Galactica,Star Trek: The Next Generation,Sherlock,Farscape,True Detective,The X-Files,Angel,The Wire,Band of Brothers,Deadwood",Firefly             
"
                    New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.
            ",David Chase,"James Gandolfini,Lorraine Bracco,Edie Falco,See full cast & crew",Crime,"
                        55min
                    ",Serie,"278,805",9.2,"The Wire,True Detective,Breaking Bad,Fargo,Boardwalk Empire,Game of Thrones,Band of Brothers,Better Call Saul,Mad Men,Seinfeld,Dexter,Narcos",The Sopranos             
"
                    New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find he has died and left half the practice to her in his will.
            ",Leila Gerstein,"Rachel Bilson,Jaime King,Cress Williams,See full cast & crew",Comedy,"
                        1h
                    ",Serie,"43,154",7.7,"The O.C.,One Tree Hill,90210,Gilmore Girls,Gossip Girl,Revenge,Gilmore Girls: A Year in the Life,Pretty Little Liars,Sex and the City,Desperate Housewives,The Vampire Diaries,Private Practice",Hart of Dixie             
"
                    Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption.
            ",Gavin O'Connor,Brad Ingelsby,Drama,"
                        1h 48min
                    ",Movie,"17,447",6.8,"The Invisible Man,Just Mercy,Dark Waters,Richard Jewell,The Postcard Killings,Bad Education,Emma.,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Underwater,Downhill,Bombshell,The Gentlemen",The Way Back 
"
                    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.
            ",Jon Favreau,"Jeff Nathanson,Irene Mecchi,2 more credits",Animation,"
                        1h 58min
                    ",Movie,"191,586",6.9,"Aladdin,The Lion King,Toy Story 4,Frozen II,Harry Potter and the Sorcerer's Stone,Frozen,Beauty and the Beast,Maleficent: Mistress of Evil,Moana,Finding Nemo,Brave,Tangled",The Lion King 
"
                    A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.
            ",Rick Berman,"Scott Bakula,John Billingsley,Jolene Blalock,See full cast & crew",Action,"
                        1h
                    ",Serie,"43,403",7.5,"Star Trek: Voyager,Star Trek: Deep Space Nine,Star Trek: The Next Generation,Star Trek: The Original Series,Star Trek: Discovery,Star Trek: First Contact,Star Trek: Generations,Star Trek: Nemesis,Star Trek: Insurrection,Star Trek IV: The Voyage Home,Star Trek III: The Search for Spock,Star Trek VI: The Undiscovered Country",Star Trek: Enterprise             
"
                    The beloved superintendent of New York's Roslyn school district and his staff, friends and relatives become the prime suspects in the unfolding of the single largest public school embezzlement scandal in American history.
            ",Cory Finley,"Mike Makowsky,Robert Kolker",Biography,"
                        1h 48min
                    ",Movie,"15,492",7.1,"The Gentlemen,Den of Thieves,Once Upon a Time... in Hollywood,The Half of It,Knives Out,Bad Boys for Life,John Henry,Hustlers,Contagion,Mad Max: Fury Road,Jojo Rabbit,Arkansas",Bad Education 
"
                    Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.
            ",Greg Berlanti,"Caity Lotz,Amy Louise Pemberton,Dominic Purcell,See full cast & crew",Action,"
                        42min
                    ",Serie,"88,010",6.8,"Supergirl,Arrow,The Flash,Batwoman,Black Lightning,Agents of S.H.I.E.L.D.,Titans,Constantine,Jessica Jones,Gotham,Iron Fist,The Defenders",DC's Legends of Tomorrow             
"
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            ",Francis Ford Coppola,"Mario Puzo,Francis Ford Coppola,1 more credit",Crime,"
                        2h 55min
                    ",Movie,"1,547,936",9.2,"The Godfather: Part II,The Shawshank Redemption,Forrest Gump,The Dark Knight,Pulp Fiction,Fight Club,Inception,Schindler's List,Back to the Future,Goodfellas,The Lord of the Rings: The Return of the King,Se7en",The Godfather 
"
                    A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
            ",Julian Fellowes,"Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,See full cast & crew",Drama,"
                        58min
                    ",Serie,"154,322",8.7,"Downton Abbey,The Crown,The Marvelous Mrs. Maisel,Big Little Lies,Victoria,Poldark,Pride and Prejudice,House of Cards,House,Mad Men,Call the Midwife,This Is Us",Downton Abbey             
"
                    A family of former child heroes, now grown apart, must reunite to continue to protect the world.
            ",Steve Blackman,"Ellen Page,Tom Hopper,David Castañeda,See full cast & crew",Action,"
                        1h
                    ",Serie,"99,656",7.9,"Chilling Adventures of Sabrina,Titans,Russian Doll,The End of the F***ing World,You,Sex Education,The Boys,Jessica Jones,Locke & Key,The Witcher,I Am Not Okay with This,The Defenders",The Umbrella Academy             
"
                    By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.
            ",James Manos Jr.,"Michael C. Hall,Jennifer Carpenter,David Zayas,See full cast & crew",Crime,"
                        53min
                    ",Serie,"623,448",8.6,"House,House of Cards,Sherlock,True Detective,Narcos,Fargo,Lost,Hannibal,Mindhunter,Black Mirror,Game of Thrones,Breaking Bad",Dexter             
"
                    In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.
            ",Craig Mazin,"Jessie Buckley,Jared Harris,Stellan Skarsgård,See full cast & crew",Drama,"
                        5h 30min
                    ",Movie,"465,929",9.4,"Game of Thrones,Breaking Bad,Sherlock,Stranger Things,Black Mirror,Peaky Blinders,Narcos,Friends,Dark,Westworld,Band of Brothers,Vikings",Chernobyl             
"
                    A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.
            ",Nicholas Meyer,"Daniel Sharman,Alessandra Mastronardi,Synnove Karlsen,See full cast & crew",Biography,"
                        1h
                    ",Serie,"13,870",7.9,"The Borgias,The Tudors,Borgia,Versailles,The Spanish Princess,The White Princess,The Last Kingdom,Reign,The White Queen,Victoria,Da Vinci's Demons,Marco Polo",Medici             
"
                    Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.
            ",Jenna Bans,"Christina Hendricks,Retta,Mae Whitman,See full cast & crew",Comedy,"
                        43min
                    ",Serie,"25,820",7.9,"Dead to Me,You,Atypical,Santa Clarita Diet,The Good Place,Russian Doll,Orange Is the New Black,Unbreakable Kimmy Schmidt,Chilling Adventures of Sabrina,Workin' Moms,Grace and Frankie,Sex Education",Good Girls             
"
                    Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.
            ",Nic Pizzolatto,"Vince Vaughn,Colin Farrell,Rachel McAdams,See full cast & crew",Crime,"
                        55min
                    ",Serie,"476,507",9.0,"Fargo,Sherlock,Dexter,Chernobyl,House of Cards,Narcos,Mindhunter,The Wire,The Sopranos,Game of Thrones,Black Mirror,Band of Brothers",True Detective             
"
                    Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.
            ",Mohit Suri,"Aseem Arrora,Aniruddha Guha,1 more credit",Action,"
                        2h 15min
                    ",Movie,"5,062",6.5,"Paatal Lok,Good Newwz,Jawaani Jaaneman,Love Aaj Kal,Aashiqui 2,Ek Villain,Thappad,Tanhaji: The Unsung Warrior,Shubh Mangal Zyada Saavdhan,Bhoot: Part One - The Haunted Ship,Angrezi Medium,Betaal",Malang 
"
                    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
            ",David Shore,"Hugh Laurie,Omar Epps,Robert Sean Leonard,See full cast & crew",Drama,"
                        44min
                    ",Serie,"398,415",8.7,"Dexter,Sherlock,The Simpsons,House of Cards,How I Met Your Mother,The Big Bang Theory,Lost,Friends,Black Mirror,The X-Files,True Detective,Suits",House             
"
                    Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.
            ",Greg Berlanti,"Stephen Amell,Katie Cassidy,David Ramsey,See full cast & crew",Action,"
                        42min
                    ",Serie,"399,385",7.6,"The Flash,DC's Legends of Tomorrow,Supergirl,Lucifer,Daredevil,Agents of S.H.I.E.L.D.,The 100,The Vampire Diaries,Jessica Jones,Iron Fist,Titans,Prison Break",Arrow             
"
                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
            ",Frank Darabont,"Stephen King,Frank Darabont",Drama,"
                        2h 22min
                    ",Movie,"2,243,863",9.3,"Forrest Gump,The Godfather,The Dark Knight,Inception,Pulp Fiction,Fight Club,The Godfather: Part II,Back to the Future,Schindler's List,Interstellar,Joker,Se7en",The Shawshank Redemption 
"
                    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
            ",Ari Aster,Ari Aster,Drama,"
                        2h 28min
                    ",Movie,"155,144",7.1,"Hereditary,Once Upon a Time... in Hollywood,The Lighthouse,Parasite,Little Women,Uncut Gems,Knives Out,Joker,The Platform,Jojo Rabbit,Mad Max: Fury Road,Get Out",Midsommar 
"
                    A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
            ",Kurt Sutter,"Charlie Hunnam,Katey Sagal,Mark Boone Junior,See full cast & crew",Crime,"
                        45min
                    ",Serie,"244,374",8.6,"Dexter,Justified,True Detective,Vikings,Boardwalk Empire,The Sopranos,Prison Break,Narcos,House of Cards,Spartacus,The Shield,The Wire",Sons of Anarchy             
"
                    A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
            ",Taika Waititi,"Taika Waititi,Christine Leunens",Comedy,"
                        1h 48min
                    ",Movie,"217,884",7.9,"Once Upon a Time... in Hollywood,Knives Out,1917,Parasite,Joker,Little Women,Avengers: Endgame,Forrest Gump,Back to the Future,Mad Max: Fury Road,Uncut Gems,The Shawshank Redemption",Jojo Rabbit 
"
                    A patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.
            ",Vaughn Stein,Matthew Kennedy,Drama,"
                        1h 51min
                    ",Movie,"1,247",5.3,"Last Moment of Clarity,Body Cam,The Lodge,The Lovebirds,The Wretched,The Postcard Killings,Vivarium,Arkansas,Fantasy Island,Z,1BR,Bad Education",Inheritance 
"
                    The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.
            ",Maurissa Tancharoen,"Clark Gregg,Ming-Na Wen,Brett Dalton,See full cast & crew",Action,"
                        45min
                    ",Serie,"190,533",7.5,"Agent Carter,DC's Legends of Tomorrow,Arrow,Jessica Jones,Luke Cage,Iron Fist,Supergirl,The Defenders,Daredevil,The Flash,The Punisher,Gotham",Agents of S.H.I.E.L.D.             
"
                    Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.
            ",Noah Hawley,"Billy Bob Thornton,Martin Freeman,Allison Tolman,See full cast & crew",Crime,"
                        53min
                    ",Serie,"302,113",8.9,"True Detective,Narcos,Sherlock,House of Cards,Dexter,The Sopranos,Mindhunter,Black Mirror,The Wire,Breaking Bad,Game of Thrones,Better Call Saul",Fargo             
"
                    A scrappy, feisty, fiercely loyal Chicago family makes no apologies.
            ",Paul Abbott,"Emmy Rossum,William H. Macy,Ethan Cutkosky,See full cast & crew",Comedy,"
                        46min
                    ",Serie,"189,990",8.6,"Dexter,American Horror Story,Black Mirror,How I Met Your Mother,Sex Education,House,Stranger Things,The Big Bang Theory,Friends,The Handmaid's Tale,True Detective,Sons of Anarchy",Shameless             
"
                    The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.
            ",Julie Plec,"Nina Dobrev,Paul Wesley,Ian Somerhalder,See full cast & crew",Drama,"
                        43min
                    ",Serie,"271,599",7.7,"The Originals,Teen Wolf,Pretty Little Liars,Gossip Girl,Legacies,Riverdale,Shadowhunters,13 Reasons Why,Supernatural,The 100,Arrow,Lucifer",The Vampire Diaries             
"
                    A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.
            ",Severin Fiala,"Sergio Casci,Veronika Franz,1 more credit",Drama,"
                        1h 48min
                    ",Movie,"15,612",6.1,"The Invisible Man,Fantasy Island,The Wretched,365 Days,Vivarium,The Platform,Gretel & Hansel,Arkansas,Goodnight Mommy,Bad Education,The Hunt,The Assistant",The Lodge 
"
                    The FBI and ATF seize religious leader ",Drew Dowdle,"Michael Shannon,Taylor Kitsch,Andrea Riseborough,See full cast & crew",Crime,"
                        4h 52min
                    ",Movie,"14,180",7.9,"Ozark,Homeland,The Sopranos,Billions,Outer Banks,Parks and Recreation,Waco: The Rules of Engagement,Tiger King,Criminal Minds,Dead to Me,The Office,Bosch",Waco             
"
                    The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.
            ",Michael Mann,"Ronan Bennett,Michael Mann,2 more credits",Biography,"
                        2h 20min
                    ",Movie,"273,335",7.0,"Blow,Black Mass,3:10 to Yuma,American Gangster,The Fighter,Secret Window,Donnie Brasco,Lawless,Sweeney Todd: The Demon Barber of Fleet Street,The Tourist,Trumbo,Road to Perdition",Public Enemies 
"
                    Bella Swan moves to Forks and encounters Edward Cullen, a gorgeous boy with a secret.
            ",Catherine Hardwicke,"Melissa Rosenberg,Stephenie Meyer",Drama,"
                        2h 2min
                    ",Movie,"411,073",5.2,"The Twilight Saga: New Moon,The Twilight Saga: Eclipse,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 1,Fifty Shades of Grey,Fifty Shades Darker,Titanic,Fifty Shades Freed,The Hunger Games,Snow White and the Huntsman,Remember Me,The Fault in Our Stars",Twilight 
"
                    On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.
            ",Aaron Korsh,"Gabriel Macht,Patrick J. Adams,Meghan Markle,See full cast & crew",Comedy,"
                        44min
                    ",Serie,"347,858",8.5,"How I Met Your Mother,The Big Bang Theory,Prison Break,Friends,Brooklyn Nine-Nine,House of Cards,House,Modern Family,Sex Education,How to Get Away with Murder,Black Mirror,Arrow",Suits             
"
                    When a mysterious cosmic disaster strikes Earth, survivors on an overnight flight from Brussels race to find refuge and escape the sun's rays.
            ",Jason George,"Pauline Etienne,Laurent Capelluto,Stefano Cassetti,See full cast & crew",Drama,,Serie,"13,241",7.2,"The Rain,The Gift,Love 101,Upload,Money Heist,Never Have I Ever,Dark,Hollywood,After Life,3%,Stranger Things,Black Mirror",Into the Night             
"
                    Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.
            ",Paul Scheuring,"Dominic Purcell,Wentworth Miller,Amaury Nolasco,See full cast & crew",Action,"
                        44min
                    ",Serie,"454,983",8.3,"Lost,Breaking Bad,Money Heist,Vikings,Game of Thrones,The Walking Dead,Peaky Blinders,Sherlock,Dexter,Stranger Things,How I Met Your Mother,Suits",Prison Break             
"
                    Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.
            ",Bruce Miller,"Elisabeth Moss,Amanda Brugel,Madeline Brewer,See full cast & crew",Drama,"
                        1h
                    ",Serie,"153,900",8.5,"Big Little Lies,The Crown,Killing Eve,Black Mirror,Shameless,Sex Education,Sharp Objects,American Horror Story,Westworld,Chernobyl,Fleabag,Game of Thrones",The Handmaid's Tale             
"
                    The adventures of Superman's cousin in her own superhero career.
            ",Ali Adler,"Melissa Benoist,Chyler Leigh,David Harewood,See full cast & crew",Action,"
                        43min
                    ",Serie,"106,711",6.3,"DC's Legends of Tomorrow,The Flash,Arrow,Batwoman,Black Lightning,Agents of S.H.I.E.L.D.,Titans,Constantine,Jessica Jones,Gotham,Iron Fist,Legacies",Supergirl             
"
                    The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.
            ",David Simon,"Dominic West,Lance Reddick,Sonja Sohn,See full cast & crew",Crime,"
                        59min
                    ",Serie,"268,045",9.3,"The Sopranos,True Detective,Band of Brothers,Chernobyl,Fargo,Boardwalk Empire,Dexter,Breaking Bad,Game of Thrones,The Shield,House of Cards,Oz",The Wire             
"
                    Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold.
            ",Rebecca Perry Cutter,"Monica Raymund,Riley Voelkel,Shane Harper,See full cast & crew",Crime,,Serie,484,5.8,"Snowpiercer,Penny Dreadful: City of Angels,I Know This Much Is True,Defending Jacob,Stargirl,Devils,The Luminaries,The Great,Reckoning,Run,White Lines,Upload",Hightown             
"
                    A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.
            ",Matthew Weiner,"Jon Hamm,Elisabeth Moss,Vincent Kartheiser,See full cast & crew",Drama,"
                        47min
                    ",Serie,"195,929",8.6,"House of Cards,True Detective,Dexter,Boardwalk Empire,Six Feet Under,The Sopranos,Fargo,The Crown,House,The Wire,Deadwood,Mindhunter",Mad Men             
"
                    An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.
            ",Eric Ellis Overmyer,"Titus Welliver,Jamie Hector,Amy Aquino,See full cast & crew",Crime,"
                        51min
                    ",Serie,"40,999",8.4,"Homeland,Goliath,The Blacklist,The Sopranos,Sneaky Pete,Ozark,Criminal Minds,Tom Clancy's Jack Ryan,Killing Eve,Billions,Justified,The Wire",Bosch             
"
                    An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.
            ",Brad Falchuk,"Lady Gaga,Kathy Bates,Angela Bassett,See full cast & crew",Drama,"
                        1h
                    ",Serie,"265,788",8.0,"Scream Queens,Shameless,The Walking Dead,Black Mirror,The Vampire Diaries,The Handmaid's Tale,The Haunting of Hill House,Lost,Stranger Things,Supernatural,Chilling Adventures of Sabrina,Orange Is the New Black",American Horror Story             
"
                    After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.
            ",Ricky Gervais,"Ricky Gervais,Tom Basden,Tony Way,See full cast & crew",Comedy,"
                        30min
                    ",Serie,"70,656",8.5,"Derek,Stranger Things,Ozark,Dead to Me,Modern Family,Peaky Blinders,Killing Eve,The Office,Breaking Bad,Homeland,Better Call Saul,Black Mirror",After Life             
